golden,source_name,imported_name,source_location,assigned_category,expected_category,source_stock,persisted_stock,unit,result
A,Bentonite,Bentonite,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 8, ""cells"": {""mud_chemical.product_type"": ""R8C14"", ""mud_chemical.used"": ""R8C16"", ""mud_chemical.received"": ""R8C17"", ""mud_chemical.on_hand"": ""R8C19"", ""mud_chemical.unit"": ""R8C20""}, ""table"": ""bulk_materials""}",Viscosifier,Viscosifier,13.0,13.0,1 MT/BB,PASS mapped
A,Barite,Barite,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 9, ""cells"": {""mud_chemical.product_type"": ""R9C14"", ""mud_chemical.used"": ""R9C16"", ""mud_chemical.received"": ""R9C17"", ""mud_chemical.on_hand"": ""R9C19"", ""mud_chemical.unit"": ""R9C20""}, ""table"": ""bulk_materials""}",Weight Material,Weight Material,45.0,45.0,1.5 MT/BB,PASS mapped
A,Limestone,Limestone,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 10, ""cells"": {""mud_chemical.product_type"": ""R10C14"", ""mud_chemical.used"": ""R10C16"", ""mud_chemical.received"": ""R10C17"", ""mud_chemical.on_hand"": ""R10C19"", ""mud_chemical.unit"": ""R10C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,1MT/BB,PASS review policy; NOT fully classified
A,Salt,Salt,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 11, ""cells"": {""mud_chemical.product_type"": ""R11C14"", ""mud_chemical.used"": ""R11C16"", ""mud_chemical.received"": ""R11C17"", ""mud_chemical.on_hand"": ""R11C19"", ""mud_chemical.unit"": ""R11C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,81.0,81.0,1 MT/BB,PASS review policy; NOT fully classified
A,Lime,Lime,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 12, ""cells"": {""mud_chemical.product_type"": ""R12C14"", ""mud_chemical.used"": ""R12C16"", ""mud_chemical.received"": ""R12C17"", ""mud_chemical.on_hand"": ""R12C19"", ""mud_chemical.unit"": ""R12C20""}, ""table"": ""bulk_materials""}",Alkalinity,Alkalinity,163.0,163.0,25 KG/SX,PASS mapped
A,API Starch,API Starch,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 13, ""cells"": {""mud_chemical.product_type"": ""R13C14"", ""mud_chemical.used"": ""R13C16"", ""mud_chemical.received"": ""R13C17"", ""mud_chemical.on_hand"": ""R13C19"", ""mud_chemical.unit"": ""R13C20""}, ""table"": ""bulk_materials""}",Filtration Control,Filtration Control,160.0,160.0,25 KG/SX,PASS mapped
A,Caustic Soda,Caustic Soda,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 14, ""cells"": {""mud_chemical.product_type"": ""R14C14"", ""mud_chemical.used"": ""R14C16"", ""mud_chemical.received"": ""R14C17"", ""mud_chemical.on_hand"": ""R14C19"", ""mud_chemical.unit"": ""R14C20""}, ""table"": ""bulk_materials""}",Alkalinity,Alkalinity,54.0,54.0,25 KG/SX,PASS mapped
A,Soda Ash,Soda Ash,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 15, ""cells"": {""mud_chemical.product_type"": ""R15C14"", ""mud_chemical.used"": ""R15C16"", ""mud_chemical.received"": ""R15C17"", ""mud_chemical.on_hand"": ""R15C19"", ""mud_chemical.unit"": ""R15C20""}, ""table"": ""bulk_materials""}",Alkalinity,Alkalinity,58.0,58.0,25 KG/SX,PASS mapped
A,Xanthan Gum,Xanthan Gum,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 16, ""cells"": {""mud_chemical.product_type"": ""R16C14"", ""mud_chemical.used"": ""R16C16"", ""mud_chemical.received"": ""R16C17"", ""mud_chemical.on_hand"": ""R16C19"", ""mud_chemical.unit"": ""R16C20""}, ""table"": ""bulk_materials""}",Viscosifier,Viscosifier,25.0,25.0,25 KG/SX,PASS mapped
A,Nut Plug (C),Nut Plug (C),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 17, ""cells"": {""mud_chemical.product_type"": ""R17C14"", ""mud_chemical.used"": ""R17C16"", ""mud_chemical.received"": ""R17C17"", ""mud_chemical.on_hand"": ""R17C19"", ""mud_chemical.unit"": ""R17C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,40.0,40.0,25 KG/SX,PASS review policy; NOT fully classified
